시험지,과목,문항번호,단원,유형,난이도,형식,배점,정답,출처,원문항,문제지,해설,출제표
중1-2 진단평가,수학,1,중1-1 복습 · 정수와 유리수,연산·식 정리,표준,객관식,3,① -9/10,기본 (중1-1),8,중1-2_진단평가_문제지.pdf,중1-2_진단평가_해설.pdf,중1-2_진단평가_출제표.csv
중1-2 진단평가,수학,2,중1-1 복습 · 정수와 유리수,연산·식 정리,상,객관식,3,②,응용 (중1-1),10,,,
중1-2 진단평가,수학,3,중1-1 복습 · 문자와 식,연산·식 정리,상,서술형,5,34,기본 (중1-1),25,,,
중1-2 진단평가,수학,4,기본 도형과 작도,개념 이해,표준,객관식,3,⑤,응용,3,,,
중1-2 진단평가,수학,5,기본 도형과 작도,표현 해석,상,객관식,3,⑤ 5개,입학 심화형,1,,,
중1-2 진단평가,수학,6,기본 도형과 작도,실생활 적용,상,객관식,3,④ 113.5°,입학 심화형,5,,,
중1-2 진단평가,수학,7,기본 도형과 작도,논증·정당화,상,객관식,3,④,심화,2,,,
중1-2 진단평가,수학,8,기본 도형과 작도,다단계 해결,상,객관식,3,⑤ 143°,입학 심화형,2,,,
중1-2 진단평가,수학,9,기본 도형과 작도,규칙 발견,최상,객관식,3,④ 28,응용,1,,,
중1-2 진단평가,수학,10,기본 도형과 작도,개념 이해,최상,객관식,3,② 1개,응용,6,,,
중1-2 진단평가,수학,11,평면도형의 성질,규칙 발견,표준,객관식,3,④ 20번,응용,7,,,
중1-2 진단평가,수학,12,평면도형의 성질,공식·절차 적용,상,객관식,3,③ 16π/3 cm,입학 심화형,24,,,
중1-2 진단평가,수학,13,평면도형의 성질,다단계 해결,상,서술형,5,96°,심화,24,,,
중1-2 진단평가,수학,14,평면도형의 성질,논증·정당화,상,객관식,3,"② △BCE, SAS 합동",입학 심화형,4,,,
중1-2 진단평가,수학,15,평면도형의 성질,논증·정당화,최상,서술형,5,49 cm²,심화,23,,,
중1-2 진단평가,수학,16,평면도형의 성질,실생활 적용,최상,객관식,3,① 76π m²,입학 심화형,12,,,
중1-2 진단평가,수학,17,입체도형의 성질,실생활 적용,표준,객관식,3,④ 18π cm³,응용,28,,,
중1-2 진단평가,수학,18,입체도형의 성질,공식·절차 적용,표준,객관식,3,③ 9π cm²,응용,13,,,
중1-2 진단평가,수학,19,입체도형의 성질,표현 해석,상,객관식,3,④ GH,응용,21,,,
중1-2 진단평가,수학,20,입체도형의 성질,개념 이해,상,객관식,3,⑤,심화,13,,,
중1-2 진단평가,수학,21,입체도형의 성질,공식·절차 적용,상,객관식,3,④ 16,입학 심화형,27,,,
중1-2 진단평가,수학,22,입체도형의 성질,규칙 발견,상,서술형,5,120,심화,26,,,
중1-2 진단평가,수학,23,입체도형의 성질,공식·절차 적용,최상,객관식,3,① 5 : 4,입학 심화형,15,,,
중1-2 진단평가,수학,24,입체도형의 성질,다단계 해결,최상,객관식,3,④ 74,입학 심화형,13,,,
중1-2 진단평가,수학,25,자료의 정리와 해석,개념 이해,표준,객관식,3,③,응용,18,,,
중1-2 진단평가,수학,26,자료의 정리와 해석,표현 해석,표준,객관식,3,②25%,입학 심화형,18,,,
중1-2 진단평가,수학,27,자료의 정리와 해석,다단계 해결,표준,객관식,3,③ 3,심화,17,,,
중1-2 진단평가,수학,28,자료의 정리와 해석,논증·정당화,표준,객관식,3,① 2,입학 심화형,17,,,
중1-2 진단평가,수학,29,자료의 정리와 해석,표현 해석,최상,객관식,3,② 14,심화,19,,,
중1-2 진단평가,수학,30,자료의 정리와 해석,다단계 해결,최상,서술형,5,13명,입학 심화형,20,,,
